"Trial","TaskWAV","Selected","Correct","RT","Subj_ID","list","Group","log_RT"
"71","DET_Task_ihr-0_Lieblingsloeffel.wav","TARGET","1","279","Y2",3,1,5.63121178182137
"72","DET_Task_ihr-e_Lieblingsweste.wav","TARGET","1","605","Y2",3,1,6.40522845803084
"73","DET_Task_sein-e_Lieblingszwiebel.wav","TARGET","1","370","Y2",3,1,5.91350300563827
"74","DET_Task_sein-0_Lieblingskegel.wav","TARGET","1","254","Y2",3,1,5.53733426701854
"75","DET_Task_ihr-0_Lieblingshammer.wav","TARGET","1","418","Y2",3,1,6.03548143252476
"76","DET_Task_sein-0_Lieblingsspargel.wav","TARGET","1","582","Y2",3,1,6.36647044773144
"77","DET_Task_sein-e_Lieblingskatze.wav","TARGET","1","649","Y2",3,1,6.47543271670409
"78","DET_Task_sein-0_Lieblingsschuh.wav","TARGET","1","439","Y2",3,1,6.08449941307517
"79","DET_Task_ihr-e_Lieblingsschaufel.wav","TARGET","1","472","Y2",3,1,6.15697898558556
"80","DET_Task_ihr-e_Lieblingstreppe.wav","TARGET","1","512","Y2",3,1,6.23832462503951
"81","DET_Task_sein-0_Lieblingsguertel.wav","TARGET","1","431","Y2",3,1,6.06610809010375
"82","DET_Task_ihr-e_Lieblingsschere.wav","TARGET","1","529","Y2",3,1,6.2709884318583
"83","DET_Task_ihr-e_Lieblingspizza.wav","TARGET","1","557","Y2",3,1,6.32256523992728
"84","DET_Task_sein-0_Lieblingsring.wav","TARGET","1","322","Y2",3,1,5.77455154554441
"85","DET_Task_sein-0_Lieblingsschlitten.wav","TARGET","1","279","Y2",3,1,5.63121178182137
"86","DET_Task_ihr-0_Lieblingstisch.wav","TARGET","1","450","Y2",3,1,6.10924758276437
"87","DET_Task_sein-0_Lieblingsroboter.wav","TARGET","1","320","Y2",3,1,5.76832099579377
"88","DET_Task_ihr-e_Lieblingssaeule.wav","TARGET","1","737","Y2",3,1,6.60258789218934
"89","DET_Task_sein-e_Lieblingstrompete.wav","TARGET","1","849","Y2",3,1,6.74405918631135
"90","DET_Task_sein-e_Lieblingsavocado.wav","TARGET","1","372","Y2",3,1,5.91889385427315
"91","DET_Task_sein-0_Lieblingskuerbis.wav","TARGET","1","348","Y2",3,1,5.85220247977447
"92","DET_Task_ihr-0_Lieblingsdrache.wav","TARGET","1","362","Y2",3,1,5.89164421182577
"93","DET_Task_sein-e_Lieblingskette.wav","TARGET","1","542","Y2",3,1,6.29526600143965
"94","DET_Task_sein-e_Lieblingsglocke.wav","TARGET","1","748","Y2",3,1,6.61740297797448
"95","DET_Task_ihr-e_Lieblingswurst.wav","TARGET","1","802","Y2",3,1,6.68710860786651
"96","DET_Task_sein-e_Lieblingsgeige.wav","TARGET","1","669","Y2",3,1,6.50578406012823
"97","DET_Task_sein-e_Lieblingsangel.wav","TARGET","1","342","Y2",3,1,5.8348107370626
"98","DET_Task_ihr-0_Lieblingsmantel.wav","TARGET","1","376","Y2",3,1,5.92958914338989
"99","DET_Task_sein-e_Lieblingslampe.wav","TARGET","1","383","Y2",3,1,5.94803498918065
"100","DET_Task_ihr-0_Lieblingstoaster.wav","TARGET","1","327","Y2",3,1,5.78996017089725
"101","DET_Task_sein-0_Lieblingstraktor.wav","TARGET","1","303","Y2",3,1,5.71373280550937
"103","DET_Task_ihr-e_Lieblingskerze.wav","TARGET","1","629","Y2",3,1,6.44413125670044
"104","DET_Task_ihr-0_Lieblingsdelfin.wav","TARGET","1","303","Y2",3,1,5.71373280550937
"1","DET_Task_ihr-0_Lieblingsfuchs.wav","TARGET","1","4325","O1",3,2,8.37216741936598
"2","DET_Task_sein-0_Lieblingsnagel.wav","TARGET","1","2955","O1",3,2,7.9912539298402
"3","DET_Task_sein-0_Lieblingskalender.wav","TARGET","1","2948","O1",3,2,7.98888225330923
"4","DET_Task_ihr-0_Lieblingskuerbis.wav","TARGET","1","1947","O1",3,2,7.5740450053722
"5","DET_Task_ihr-e_Lieblingsameise.wav","TARGET","1","2238","O1",3,2,7.71333788887187
"6","DET_Task_ihr-0_Lieblingstrichter.wav","TARGET","1","2156","O1",3,2,7.67600993202889
"7","DET_Task_sein-0_Lieblingsbesen.wav","TARGET","1","2252","O1",3,2,7.71957398925958
"8","DET_Task_ihr-e_Lieblingsraupe.wav","TARGET","1","2262","O1",3,2,7.72400465667607
"9","DET_Task_ihr-e_Lieblingszwiebel.wav","TARGET","1","2462","O1",3,2,7.8087293067444
"10","DET_Task_ihr-0_Lieblingsschuh.wav","Possessee_comp","0","2401","O1",3,2,7.78364059622125
"11","DET_Task_sein-e_Lieblingstreppe.wav","TARGET","1","2299","O1",3,2,7.74022952476318
